Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
N Rana,smat2022_131,KKR,Batsman,8.5,https://www.kkr.in/static-assets/images/players/2020/63649.png?v=5.34&w=200,10,14,1,71.4,0,0,0,0,42.9,3,18,0,6,0,0,0,0,1,27.8,21,15,140,0,6,1,16,25,12,18,0,1,5,7,1,1
RK Singh,smat2022_113,KKR,Batsman,8,https://www.kkr.in/static-assets/images/players/2020/64727.png?v=5.34&w=200,79,47,1,168.1,1,0,7,4,29.8,0,0,0,0,0,0,0,0,0,0,31,17,182.3529412,0,0,0,24,38,12,21,0,0,0,0,0,0
SS Iyer,smat2022_136,KKR,Batsman,10,https://www.kkr.in/static-assets/images/players/2020/63961.png?v=5.34&w=200,34,26,1,130.8,0,0,4,1,38.5,0,0,0,0,0,0,0,0,0,0,22,19,115.7894737,0,0,0,18,27,16,22,0,0,0,0,0,0
Rahmanullah Gurbaz,scl2020_19,KKR,WK,8,https://www.kkr.in/static-assets/images/players/2020/68027.png?v=5.34&w=200,4,3,1,133.3,0,0,1,0,66.7,0,0,0,0,0,0,0,0,0,0,23,15,153.3333333,0,0,0,18,28,13,18,0,0,0,0,0,0
VG Arora,smat2022_136,KKR,Bowler,8,https://www.kkr.in/static-assets/images/players/2020/74298.png?v=5.34&w=200,2,2,0,100,0,0,0,0,0,4,27,3,6.75,9,8,0,0,2,75,0,1,0,0,13,1,0,0,1,1,0,1,10,16,1,2
CV Varun,tnpl2022_29,KKR,Bowler,9,https://www.kkr.in/static-assets/images/players/2020/67469.png?v=5.34&w=200,0,0,0,0,0,0,0,0,0,2.5,16,0,5.65,0,0,0,2,0,52.9,1,1,100,0,19,3,0,2,1,2,0,1,16,21,3,4
C Sakariya,smat2022_133,KKR,Bowler,8.5,https://www.kkr.in/static-assets/images/players/2020/68173.png?v=5.34&w=200,0,0,0,0,0,0,0,0,0,4,33,4,8.25,8.2,6,0,4,0,62.5,1,2,50,1,18,1,1,2,1,3,0,1,14,21,1,2
MA Starc,ipl2023_03,KKR,Bowler,8.5,https://www.kkr.in/static-assets/images/players/2020/10053.png?v=5.34&w=200,4,4,1,100,0,0,1,0,75,0,0,0,0,0,0,0,0,0,0,1,2,50,0,0,0,1,2,1,4,0,0,0,0,0,0
AD Russell,t100m2022_21,KKR,AR,10.5,https://www.kkr.in/static-assets/images/players/2020/12047.png?v=5.34&w=200,17,17,1,100,0,0,0,2,58.8,3.2,34,1,10.2,34,20,0,4,1,45,18,11,163.6363636,1,22,2,15,21,10,13,1,1,21,24,2,2
SP Narine,t20blast2022_127,KKR,AR,9.5,https://www.kkr.in/static-assets/images/players/2020/11229.png?v=5.34&w=200,0,1,1,0,0,0,0,0,100,4,26,1,6.5,26,24,0,2,0,25,12,8,150,1,27,4,10,14,7,9,1,1,26,28,4,4
