Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
RD Gaikwad,smat2021_2_090,44.0,34,1,129.4,0,0,6,0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,0.0,0.0,0.0,16.0,32.0,17.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ Mitchell,t20blast2023_127,26.0,19,0,136.8,0,0,1,1,21.1,4.0,44.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,20.8,32.0,23.0,1.0,33.0,3.0,26.0,38.0,20.0,27.0,0.0,1.0,29.0,36.0,3.0,3.0
S Dube,smat2023_058,15.0,25,1,60.0,0,0,0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,0.0,3.0,1.0,26.0,36.0,17.0,23.0,-0.0,0.0,1.0,5.0,0.0,1.0
AM Rahane,smat2023_058,31.0,31,1,100.0,0,0,1,0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,0.0,0.0,0.0,25.0,34.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
SN Thakur,ipl2023_68,3.0,7,1,42.9,0,0,0,0,57.1,2.0,27.0,2.0,13.5,13.5,6.0,0.0,0.0,3.0,41.7,1.0,1.0,1.0,25.0,3.0,1.0,4.0,0.0,3.0,1.0,1.0,22.0,27.0,3.0,3.0
Mustafizur Rahman,t20blast2016_110,0.0,0,0,0.0,0,0,0,0,0.0,3.2,31.0,0.0,9.3,0.0,0.0,0.0,3.0,1.0,25.0,1.0,1.0,1.0,27.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,29.0,3.0,4.0
DL Chahar,smat2021_094,2.0,3,0,66.7,0,0,0,0,33.3,4.0,36.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,25.0,3.0,2.0,2.0,24.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,21.0,26.0,4.0,4.0
M Pathirana,lpl2023_20,0.0,2,0,0.0,0,0,0,0,100.0,0.3,18.0,0.0,36.0,0.0,0.0,0.0,1.0,1.0,66.7,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,8.0,0.0,1.0
M Theekshana,sat20_2023_32,0.0,0,0,0.0,0,0,0,0,0.0,4.0,29.0,0.0,7.25,0.0,0.0,0.0,2.0,1.0,37.5,1.0,1.0,1.0,25.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,23.0,27.0,4.0,4.0
TU Deshpande,smat2023_058,0.0,0,0,0.0,0,0,0,0,0.0,3.0,29.0,0.0,9.67,0.0,0.0,0.0,3.0,1.0,27.8,1.0,1.0,1.0,29.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,24.0,34.0,3.0,4.0
RA Jadeja,ipl2024_07,7.0,3,1,233.3,0,0,1,0,0.0,2.0,15.0,0.0,7.5,0.0,0.0,0.0,1.0,0.0,16.7,13.0,6.0,1.0,20.0,3.0,11.0,15.0,4.0,7.0,0.0,1.0,18.0,22.0,2.0,3.0
R Ravindra,ssnz2023_31,2.0,5,1,40.0,0,0,0,0,60.0,3.0,22.0,1.0,7.33,22.0,18.0,0.0,1.0,1.0,27.8,5.0,7.0,0.0,21.0,2.0,1.0,11.0,4.0,11.0,0.0,1.0,18.0,25.0,2.0,3.0
MM Ali,t20blast2023_070,12.0,9,1,133.3,0,0,1,0,22.2,4.0,16.0,3.0,4.0,5.3,8.0,0.0,1.0,0.0,45.8,18.0,13.0,1.0,20.0,2.0,14.0,22.0,11.0,15.0,0.0,1.0,18.0,22.0,2.0,3.0
MJ Santner,t20blast2023_130,13.0,10,1,130.0,0,0,1,1,60.0,3.3,23.0,1.0,6.57,23.0,21.0,0.0,3.0,0.0,47.6,16.0,12.0,1.0,22.0,3.0,12.0,21.0,9.0,14.0,1.0,1.0,20.0,24.0,3.0,3.0
MS Dhoni,ipl2023_74,0.0,1,1,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,0.0,0.0,17.0,24.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
DP Conway,t20blast2021_124,4.0,6,1,66.7,0,0,1,0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,0.0,0.0,0.0,28.0,42.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
Sameer Rizvi,smat2023_130,42.0,29,0,144.8,0,0,1,4,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,1.0,20.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Mukesh Choudhary,smat2021_2_096,0.0,0,0,0.0,0,0,0,0,0.0,3.0,24.0,1.0,8.0,24.0,18.0,0.0,3.0,1.0,50.0,0.0,0.0,1.0,22.0,3.0,1.0,1.0,1.0,1.0,-1.0,-0.0,16.0,29.0,2.0,3.0
