Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
DA Warner,ipl2024_02,29.0,21,1,138.1,0,0,3,2,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,29.0,0.0,0.0,0.0,34.0,46.0,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Shaw,smat2022_136,11.0,8,1,137.5,0,0,2,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,0.0,0.0,0.0,22.0,33.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
RK Bhui,smat2023_088,40.0,13,0,307.7,0,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,29.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Dhull,smat2023_133,7.0,9,1,77.8,0,0,1,0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,3.0,36.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,smat2022_113,0.0,0,0,0.0,0,0,0,0,0.0,3.0,24.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,38.9,3.0,4.0,1.0,26.0,3.0,2.0,4.0,2.0,5.0,0.0,1.0,24.0,29.0,3.0,4.0
Abishek Porel,smat2023_128,23.0,16,1,143.8,0,0,2,1,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Pant,ipl2024_02,18.0,13,1,138.5,0,0,2,0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,23.0,32.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
SD Hope,psl2024_28,5.0,7,1,71.4,0,0,0,0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,16.0,26.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
T Stubbs,t100m2022_34,18.0,18,1,100.0,0,0,1,0,38.9,0.5,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,14.0,0.0,7.0,0.0,18.0,27.0,12.0,17.0,-0.0,0.0,4.0,10.0,0.0,1.0
A Nortje,sat20_2023_33,5.0,4,0,125.0,0,0,1,0,50.0,4.0,21.0,2.0,5.25,10.5,12.0,0.0,2.0,1.0,75.0,2.0,1.0,2.0,23.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,20.0,25.0,3.0,3.0
I Sharma,smat2023_090,0.0,0,0,0.0,0,0,0,0,0.0,2.0,13.0,1.0,6.5,13.0,12.0,0.0,3.0,0.0,66.7,1.0,1.0,1.0,19.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,23.0,2.0,3.0
Mukesh Kumar,smat2023_128,0.0,0,0,0.0,0,0,0,0,0.0,4.0,29.0,1.0,7.25,29.0,24.0,0.0,4.0,0.0,45.8,0.0,0.0,1.0,24.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,27.0,2.0,3.0
P Dubey,smat2021_2_105,33.0,25,1,132.0,0,0,3,1,36.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,12.0,-1.0,1.0,-12.0,16.0,0.0,0.0
KK Ahmed,smat2022_061,0.0,0,0,0.0,0,0,0,0,0.0,4.0,36.0,1.0,9.0,36.0,24.0,0.0,2.0,2.0,33.3,1.0,0.0,1.0,25.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,22.0,27.0,3.0,4.0
Rasikh Salam,smat2023_104,0.0,0,0,0.0,0,0,0,0,0.0,3.0,32.0,0.0,10.67,0.0,0.0,0.0,2.0,3.0,38.9,0.0,0.0,0.0,13.0,2.0,1.0,3.0,1.0,2.0,-1.0,1.0,1.0,26.0,1.0,3.0
JA Richardson,ipl2021_11,0.0,0,0,0.0,0,0,0,0,0.0,4.0,41.0,2.0,10.25,20.5,12.0,0.0,2.0,3.0,37.5,4.0,3.0,2.0,26.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,23.0,29.0,3.0,4.0
AR Patel,smat2023_096,0.0,0,0,0.0,0,0,0,0,0.0,2.0,14.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,33.3,10.0,8.0,1.0,27.0,3.0,7.0,13.0,6.0,10.0,1.0,1.0,25.0,29.0,3.0,4.0
Lalit Yadav,smat2023_133,15.0,12,1,125.0,0,0,2,0,25.0,3.4,32.0,0.0,8.73,0.0,0.0,0.0,0.0,2.0,13.6,15.0,12.0,1.0,14.0,2.0,10.0,20.0,8.0,15.0,0.0,1.0,10.0,18.0,1.0,2.0
MR Marsh,ipl2024_02,20.0,12,1,166.7,0,0,2,2,66.7,4.0,52.0,0.0,13.0,0.0,0.0,0.0,5.0,3.0,25.0,20.0,15.0,1.0,6.0,1.0,13.0,27.0,12.0,19.0,-0.0,0.0,3.0,10.0,1.0,1.0
Sumit Kumar,smat2023_076,5.0,4,0,125.0,0,0,0,0,0.0,4.0,18.0,4.0,4.5,4.5,6.0,0.0,1.0,0.0,66.7,10.0,6.0,0.0,5.0,1.0,4.0,16.0,2.0,9.0,-1.0,1.0,-5.0,14.0,1.0,1.0
J Fraser-McGurk,ilt20_2024_08,41.0,17,1,241.2,0,0,3,4,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,0.0,0.0,0.0,17.0,32.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
