Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
RK Singh,smat2023_130,77.0,33,0,233.3,1,0,4,6,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,16.0,0.0,0.0,0.0,28.0,42.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
SS Iyer,smat2022_136,34.0,26,1,130.8,0,0,4,1,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,20.0,29.0,17.0,23.0,-0.0,0.0,-0.0,0.0,0.0,0.0
VR Iyer,smat2023_108,29.0,22,0,131.8,0,0,2,1,22.7,1.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,66.7,27.0,19.0,0.0,9.0,1.0,21.0,33.0,15.0,23.0,-0.0,0.0,6.0,12.0,1.0,1.0
N Rana,smat2023_130,17.0,18,0,94.4,0,0,1,0,27.8,3.0,22.0,0.0,7.33,0.0,0.0,0.0,1.0,1.0,22.2,23.0,17.0,1.0,12.0,2.0,18.0,27.0,14.0,19.0,1.0,2.0,11.0,13.0,2.0,2.0
SE Rutherford,psl2024_22,9.0,9,1,100.0,0,0,1,0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,18.0,27.0,13.0,18.0,-0.0,0.0,-1.0,2.0,1.0,0.0
MK Pandey,smat2023_099,11.0,9,1,122.2,0,0,0,1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,0.0,0.0,0.0,22.0,31.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
MA Starc,ipl2024_03,6.0,3,0,200.0,0,0,1,0,0.0,4.0,53.0,0.0,13.25,0.0,0.0,0.0,3.0,4.0,41.7,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,-0.0,1.0,-9.0,8.0,1.0,1.0
CV Varun,tnpl2023_31,0.0,0,0,0.0,0,0,0,0,0.0,4.0,26.0,1.0,6.5,26.0,24.0,0.0,1.0,1.0,33.3,1.0,1.0,1.0,29.0,4.0,0.0,2.0,1.0,2.0,1.0,1.0,27.0,31.0,3.0,4.0
PVD Chameera,lpl2023_15,0.0,0,0,0.0,0,0,0,0,0.0,4.0,33.0,0.0,8.25,0.0,0.0,0.0,2.0,1.0,29.2,1.0,2.0,1.0,40.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,36.0,44.0,3.0,4.0
Suyash Sharma,lpl2021_17,2.0,12,1,16.7,0,0,0,0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
