Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
D Padikkal,smat2023_099,1.0,2,1,50.0,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,24.0,37.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
KR Mayers,t20blast2021_122,14.0,12,0,116.7,0,0,2,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,1.0,5.0,1.0,22.0,33.0,16.0,23.0,-0.0,0.0,2.0,8.0,1.0,1.0
DJ Hooda,smat2021_2_049,69.0,35,0,197.1,1,0,5,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,0.0,3.0,0.0,26.0,36.0,20.0,26.0,-0.0,0.0,1.0,6.0,0.0,0.0
AJ Turner,t20blast2023_119,6.0,11,1,54.5,0,0,0,0,45.5,4.0,20.0,3.0,5.0,6.7,8.0,0.0,2.0,0.0,45.8,17.0,12.0,1.0,5.0,0.0,13.0,20.0,10.0,14.0,0.0,1.0,4.0,6.0,0.0,0.0
A Badoni,smat2023_133,80.0,57,0,140.4,1,0,7,4,35.1,1.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,33.3,22.0,16.0,0.0,0.0,0.0,14.0,29.0,11.0,21.0,-0.0,0.0,-1.0,2.0,1.0,0.0
Ravi Bishnoi,smat2023_127,0.0,0,0,0.0,0,0,0,0,0.0,4.0,29.0,2.0,7.25,14.5,12.0,0.0,3.0,0.0,37.5,0.0,1.0,1.0,30.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,28.0,32.0,4.0,4.0
Naveen-ul-Haq,t20blast2023_076,0.0,0,0,0.0,0,0,0,0,0.0,2.0,15.0,0.0,7.5,0.0,0.0,0.0,2.0,0.0,25.0,2.0,2.0,1.0,23.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,21.0,25.0,3.0,3.0
S Joseph,smat2023_132,0.0,0,0,0.0,0,0,0,0,0.0,3.0,17.0,2.0,5.67,8.5,9.0,0.0,0.0,1.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-11.0,11.0,1.0,2.0
Shivam Mavi,smat2022_113,0.0,0,0,0.0,0,0,0,0,0.0,2.0,18.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,58.3,0.0,0.0,1.0,24.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,20.0,27.0,2.0,3.0
A Mishra,smat2023_032,0.0,0,0,0.0,0,0,0,0,0.0,3.0,27.0,2.0,9.0,13.5,9.0,0.0,5.0,0.0,38.9,1.0,2.0,1.0,21.0,2.0,0.0,3.0,1.0,4.0,-0.0,0.0,18.0,23.0,2.0,2.0
Mohsin Khan,smat2023_130,0.0,0,0,0.0,0,0,0,0,0.0,4.0,34.0,3.0,8.5,11.3,8.0,0.0,3.0,1.0,37.5,2.0,1.0,1.0,8.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,14.0,1.0,3.0
Yash Thakur,smat2022_135,0.0,0,0,0.0,0,0,0,0,0.0,3.0,25.0,0.0,8.33,0.0,0.0,0.0,4.0,1.0,55.6,0.0,0.0,1.0,35.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,29.0,40.0,3.0,4.0
Arshad Khan,smat2023_054,4.0,11,1,36.4,0,0,0,0,63.6,2.0,15.0,0.0,7.5,0.0,0.0,0.0,2.0,0.0,41.7,15.0,11.0,2.0,35.0,3.0,10.0,20.0,7.0,15.0,1.0,4.0,21.0,48.0,2.0,3.0
M Siddharth,tnpl2023_32,0.0,0,0,0.0,0,0,0,0,0.0,2.0,13.0,1.0,6.5,13.0,12.0,0.0,1.0,1.0,58.3,2.0,2.0,1.0,12.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,9.0,14.0,3.0,4.0
MP Yadav,tnpl2023_29,1.0,1,0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
KH Pandya,smat2023_135,45.0,32,1,140.6,0,0,3,1,18.8,4.0,30.0,1.0,7.5,30.0,24.0,0.0,3.0,0.0,29.2,15.0,10.0,0.0,16.0,2.0,12.0,18.0,8.0,12.0,0.0,1.0,14.0,18.0,2.0,2.0
MP Stoinis,t20blast2018_127,0.0,3,1,0.0,0,0,0,0,100.0,3.0,18.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,44.4,36.0,21.0,1.0,22.0,3.0,31.0,40.0,18.0,23.0,0.0,1.0,20.0,24.0,2.0,3.0
DJ Willey,t20blast2023_121,10.0,11,1,90.9,0,0,1,0,36.4,3.0,23.0,1.0,7.67,23.0,18.0,0.0,1.0,1.0,55.6,11.0,10.0,1.0,27.0,3.0,7.0,15.0,7.0,12.0,1.0,1.0,25.0,28.0,3.0,3.0
K Gowtham Thamarai,tnpl2023_32,0.0,0,0,0.0,0,0,0,0,0.0,3.0,38.0,1.0,12.67,38.0,18.0,0.0,3.0,3.0,38.9,0.0,0.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,7.0,14.0,0.0,1.0
PN Mankad,smat2022_133,61.0,25,1,244.0,1,0,7,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,3.0,0.0,1.0,27.0,1.0,14.0,-1.0,1.0,-7.0,12.0,1.0,1.0
KL Rahul,ipl2024_04,58.0,44,1,131.8,1,0,4,2,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,29.0,0.0,0.0,0.0,27.0,41.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
N Pooran,t20blast2019_023,43.0,31,1,138.7,0,0,3,3,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,0.0,0.0,0.0,21.0,28.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Q de Kock,t100m2022_31,8.0,6,1,133.3,0,0,2,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,0.0,0.0,0.0,26.0,37.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
