Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
SA Yadav,smat2021_095,22.0,15,1,146.7,0,0,3,0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,16.0,25.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
RG Sharma,ipl2024_08,26.0,12,1,216.7,0,0,1,3,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,22.0,30.0,17.0,22.0,-0.0,0.0,-0.0,0.0,0.0,0.0
NT Tilak Varma,smat2023_069,40.0,24,0,166.7,0,0,2,3,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,0.0,2.0,0.0,18.0,34.0,16.0,24.0,-0.0,0.0,0.0,4.0,0.0,0.0
TH David,t20blast2022_133,8.0,11,1,72.7,0,0,0,0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,2.0,0.0,16.0,22.0,10.0,13.0,-0.0,0.0,1.0,3.0,0.0,0.0
D Brevis,sat20_2024_28,9.0,10,1,90.0,0,0,1,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,1.0,0.0,11.0,23.0,7.0,14.0,-0.0,0.0,-0.0,2.0,0.0,0.0
JJ Bumrah,ipl2024_08,0.0,0,0,0.0,0,0,0,0,0.0,4.0,36.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,20.8,0.0,0.0,2.0,22.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,20.0,24.0,3.0,4.0
G Coetzee,sat20_2023_32,12.0,17,1,70.6,0,0,0,1,64.7,4.0,41.0,0.0,10.25,0.0,0.0,0.0,2.0,2.0,37.5,0.0,1.0,1.0,15.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,10.0,21.0,1.0,2.0
PP Chawla,smat2023_127,13.0,8,0,162.5,0,0,2,0,12.5,4.0,19.0,0.0,4.75,0.0,0.0,0.0,1.0,0.0,37.5,2.0,2.0,1.0,20.0,3.0,0.0,3.0,2.0,3.0,0.0,1.0,18.0,22.0,2.0,3.0
N Thushara,sat20_2024_28,0.0,1,1,0.0,0,0,0,0,100.0,3.4,40.0,1.0,10.91,40.0,22.0,0.0,6.0,0.0,40.9,0.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,1.0,2.0
L Wood,t20blast2023_127,0.0,0,0,0.0,0,0,0,0,0.0,4.0,37.0,1.0,9.25,37.0,24.0,0.0,3.0,1.0,50.0,2.0,2.0,1.0,26.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,24.0,27.0,3.0,3.0
HH Pandya,ipl2024_08,24.0,20,1,120.0,0,0,1,1,25.0,4.0,46.0,1.0,11.5,46.0,24.0,0.0,5.0,2.0,20.8,18.0,13.0,1.0,14.0,2.0,15.0,22.0,11.0,16.0,0.0,1.0,11.0,17.0,2.0,2.0
