Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
S Dhawan,smat2022_131,37.0,27,1,137.0,0,0,7,0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,0.0,0.0,0.0,27.0,38.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
JM Bairstow,t20blast2023_002,7.0,6,1,116.7,0,0,1,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,22.0,41.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
RR Rossouw,t20blast2022_132,23.0,20,1,115.0,0,0,1,2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,0.0,0.0,0.0,23.0,29.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
A Taide,smat2022_135,29.0,22,1,131.8,0,0,3,1,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,0.0,3.0,0.0,11.0,31.0,12.0,24.0,-0.0,0.0,2.0,4.0,0.0,0.0
Harpreet Singh,smat2023_094,34.0,27,1,125.9,0,0,4,0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Shashank Singh,smat2023_094,28.0,22,1,127.3,0,0,1,1,18.2,1.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,10.0,-0.0,0.0,-3.0,3.0,1.0,1.0
Arshdeep Singh,smat2023_135,0.0,0,0,0.0,0,0,0,0,0.0,4.0,23.0,4.0,5.75,5.8,6.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,28.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,31.0,3.0,4.0
K Rabada,sat20_2024_28,1.0,2,1,50.0,0,0,0,0,50.0,4.0,24.0,1.0,6.0,24.0,24.0,0.0,1.0,1.0,45.8,3.0,2.0,1.0,27.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,25.0,29.0,3.0,3.0
HV Patel,smat2023_076,30.0,26,1,115.4,0,0,4,0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,1.0,13.0,1.0,14.0,21.0,13.0,17.0,0.0,1.0,10.0,16.0,1.0,2.0
NT Ellis,t20blast2023_131,0.0,0,0,0.0,0,0,0,0,0.0,2.3,27.0,1.0,10.8,27.0,15.0,0.0,1.0,3.0,40.0,2.0,2.0,1.0,31.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,29.0,33.0,3.0,4.0
RD Chahar,smat2022_061,8.0,4,0,200.0,0,0,0,1,25.0,3.0,26.0,0.0,8.67,0.0,0.0,0.0,2.0,1.0,22.2,7.0,7.0,1.0,29.0,3.0,7.0,8.0,7.0,8.0,1.0,1.0,27.0,31.0,3.0,4.0
Harpreet Brar,smat2023_135,0.0,0,0,0.0,0,0,0,0,0.0,4.0,35.0,1.0,8.75,35.0,24.0,0.0,2.0,2.0,33.3,4.0,2.0,1.0,24.0,3.0,1.0,6.0,1.0,4.0,1.0,1.0,21.0,28.0,3.0,3.0
T Thyagarajan,smat2023_069,0.0,0,0,0.0,0,0,0,0,0.0,4.0,21.0,1.0,5.25,21.0,24.0,0.0,1.0,1.0,45.8,2.0,2.0,0.0,0.0,0.0,1.0,11.0,1.0,10.0,-1.0,1.0,-5.0,5.0,1.0,0.0
SM Curran,t20blast2023_132,5.0,10,1,50.0,0,0,0,0,50.0,4.0,32.0,1.0,8.0,32.0,24.0,0.0,3.0,0.0,29.2,14.0,11.0,1.0,27.0,3.0,11.0,18.0,9.0,13.0,1.0,1.0,25.0,29.0,3.0,3.0
LS Livingstone,t20blast2023_127,7.0,13,1,53.8,0,0,1,0,69.2,2.0,22.0,1.0,11.0,22.0,12.0,0.0,1.0,1.0,25.0,32.0,22.0,0.0,20.0,2.0,29.0,35.0,20.0,24.0,0.0,1.0,18.0,22.0,2.0,2.0
Sikandar Raza,psl2024_28,6.0,5,0,120.0,0,0,1,0,60.0,4.0,32.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,29.2,13.0,11.0,1.0,12.0,2.0,9.0,16.0,9.0,14.0,0.0,1.0,10.0,15.0,2.0,2.0
CR Woakes,t20blast2023_105,0.0,0,0,0.0,0,0,0,0,0.0,4.0,28.0,1.0,7.0,28.0,24.0,0.0,1.0,1.0,50.0,7.0,7.0,1.0,27.0,3.0,5.0,9.0,6.0,9.0,0.0,1.0,23.0,30.0,3.0,3.0
