Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
V Kohli,ipl2024_06,77.0,49,1,157.1,1,0,11,2,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,0.0,0.0,0.0,29.0,40.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
F du Plessis,t20blast2019_123,32.0,21,1,152.4,0,0,1,2,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,0.0,0.0,0.0,29.0,38.0,22.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
RM Patidar,smat2023_108,50.0,30,1,166.7,1,0,2,4,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,9.0,39.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahipal Lomaror,smat2023_108,50.0,30,1,166.7,1,0,2,4,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,9.0,39.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
SS Prabhudessadi,smat2023_108,50.0,30,1,166.7,1,0,2,4,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,9.0,39.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
SD Chauhan,smat2023_127,32.0,21,1,152.4,0,0,4,1,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,23.0,0.0,0.0,0.0,17.0,55.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Siraj,ipl2024_06,0.0,0,0,0.0,0,0,0,0,0.0,4.0,26.0,2.0,6.5,13.0,12.0,0.0,4.0,0.0,50.0,2.0,3.0,1.0,32.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,30.0,35.0,3.0,4.0
LH Ferguson,t20blast2021_094,0.0,0,0,0.0,0,0,0,0,0.0,4.0,22.0,4.0,5.5,5.5,6.0,0.0,1.0,0.0,50.0,2.0,1.0,1.0,25.0,3.0,0.0,3.0,0.0,2.0,1.0,1.0,22.0,27.0,3.0,4.0
RJW Topley,t20blast2022_126,0.0,0,0,0.0,0,0,0,0,0.0,4.0,26.0,2.0,6.5,13.0,12.0,0.0,2.0,1.0,54.2,0.0,0.0,1.0,31.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,33.0,3.0,4.0
KV Sharma,smat2023_096,29.0,14,0,207.1,0,0,3,2,28.6,3.0,27.0,1.0,9.0,27.0,18.0,0.0,0.0,3.0,38.9,1.0,2.0,1.0,24.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,21.0,27.0,3.0,3.0
AS Joseph,sat20_2023_22,0.0,0,0,0.0,0,0,0,0,0.0,4.0,38.0,0.0,9.5,0.0,0.0,0.0,4.0,1.0,33.3,4.0,4.0,1.0,25.0,4.0,2.0,6.0,3.0,5.0,1.0,2.0,23.0,28.0,3.0,4.0
MJ Dagar,smat2022_136,21.0,12,0,175.0,0,0,2,1,25.0,4.0,24.0,2.0,6.0,12.0,12.0,0.0,1.0,1.0,37.5,0.0,0.0,1.0,17.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,12.0,21.0,2.0,3.0
