Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
YBK Jaiswal,smat2023_058,50.0,36,1,138.9,1,0,8,1,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,4.0,19.0,1.0,7.0,-0.0,0.0,-0.0,1.0,0.0,0.0
SO Hetmyer,psl2021_16,7.0,9,1,77.8,0,0,0,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,14.0,21.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
R Powell,psl2024_33,2.0,7,1,28.6,0,0,0,0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,5.0,0.0,17.0,25.0,13.0,17.0,-0.0,0.0,2.0,7.0,0.0,1.0
T Kohler-Cadmore,t20blast2023_133,19.0,19,1,100.0,0,0,2,1,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,23.0,31.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
SB Dubey,smat2022_135,19.0,22,1,86.4,0,0,1,0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,16.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
TA Boult,ssnz2021_30,0.0,0,0,0.0,0,0,0,0,0.0,3.0,40.0,2.0,13.33,20.0,9.0,0.0,7.0,1.0,27.8,2.0,1.0,1.0,25.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,24.0,27.0,3.0,3.0
YS Chahal,smat2023_076,0.0,0,0,0.0,0,0,0,0,0.0,3.5,8.0,4.0,2.09,2.0,5.8,0.0,0.0,0.0,78.3,0.0,0.0,1.0,27.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,25.0,28.0,3.0,3.0
Avesh Khan,smat2023_108,0.0,0,0,0.0,0,0,0,0,0.0,4.0,27.0,1.0,6.75,27.0,24.0,0.0,2.0,1.0,45.8,1.0,1.0,1.0,35.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,32.0,38.0,3.0,4.0
Sandeep Sharma,smat2021_101,1.0,2,1,50.0,0,0,0,0,50.0,4.0,35.0,1.0,8.75,35.0,24.0,0.0,4.0,1.0,29.2,1.0,1.0,0.0,29.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,27.0,32.0,3.0,4.0
N Burger,sat20_2024_33,1.0,4,1,25.0,0,0,0,0,75.0,4.0,27.0,2.0,6.75,13.5,12.0,0.0,4.0,0.0,41.7,2.0,2.0,0.0,22.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,18.0,26.0,2.0,3.0
