Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
TM Head,t20blast2021_108,5.0,8,1,62.5,0,0,0,0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,0.0,3.0,0.0,22.0,36.0,16.0,25.0,-0.0,1.0,0.0,6.0,0.0,1.0
MA Agarwal,smat2023_099,59.0,35,1,168.6,1,0,8,2,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,0.0,0.0,0.0,22.0,32.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
RA Tripathi,smat2023_068,35.0,16,0,218.8,0,0,6,0,18.8,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,83.3,18.0,12.0,0.0,0.0,0.0,13.0,22.0,10.0,15.0,-0.0,0.0,-0.0,0.0,0.0,0.0
GD Phillips,t20blast2022_119,52.0,39,1,133.3,1,0,1,3,20.5,1.0,7.0,1.0,7.0,7.0,6.0,0.0,1.0,0.0,33.3,17.0,16.0,0.0,3.0,0.0,13.0,21.0,13.0,18.0,0.0,0.0,2.0,4.0,0.0,0.0
Abhishek Sharma,smat2023_135,0.0,1,1,0.0,0,0,0,0,100.0,1.0,13.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,16.7,35.0,20.0,0.0,10.0,1.0,28.0,42.0,17.0,23.0,-0.0,0.0,8.0,12.0,1.0,2.0
Abdul Samad,smat2023_058,38.0,30,0,126.7,0,0,3,1,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0,3.0,0.0,13.0,23.0,5.0,12.0,-0.0,0.0,-1.0,7.0,0.0,0.0
PJ Cummins,ipl2024_03,0.0,1,0,0.0,0,0,0,0,100.0,4.0,32.0,1.0,8.0,32.0,24.0,0.0,3.0,1.0,33.3,2.0,2.0,1.0,27.0,3.0,1.0,8.0,1.0,5.0,1.0,1.0,24.0,31.0,3.0,4.0
B Kumar,smat2023_130,0.0,0,0,0.0,0,0,0,0,0.0,4.0,22.0,2.0,5.5,11.0,12.0,0.0,2.0,0.0,58.3,1.0,1.0,2.0,27.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,25.0,29.0,3.0,4.0
T Natarajan,tnpl2023_21,0.0,0,0,0.0,0,0,0,0,0.0,3.0,14.0,1.0,4.67,14.0,18.0,0.0,2.0,0.0,66.7,0.0,0.0,1.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,26.0,3.0,4.0
M Markande,smat2023_135,0.0,0,0,0.0,0,0,0,0,0.0,3.0,29.0,1.0,9.67,29.0,18.0,0.0,0.0,3.0,27.8,1.0,1.0,1.0,21.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,23.0,2.0,3.0
Fazalhaq Farooqi,psl2023_32,0.0,0,0,0.0,0,0,0,0,0.0,4.0,31.0,1.0,7.75,31.0,24.0,0.0,5.0,0.0,50.0,0.0,1.0,0.0,25.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,22.0,28.0,3.0,3.0
JD Unadkat,smat2022_133,7.0,5,0,140.0,0,0,1,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,6.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Akash Singh,smat2022_114,4.0,2,1,200.0,0,0,1,0,50.0,3.0,27.0,1.0,9.0,27.0,18.0,0.0,4.0,1.0,55.6,0.0,1.0,1.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,20.0,2.0,3.0
AK Markram,sat20_2024_34,42.0,26,0,161.5,0,0,3,2,19.2,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,33.3,23.0,18.0,0.0,2.0,0.0,18.0,29.0,14.0,21.0,-0.0,0.0,0.0,5.0,0.0,0.0
M Jansen,sat20_2024_34,0.0,0,0,0.0,0,0,0,0,0.0,4.0,30.0,5.0,7.5,6.0,4.8,1.0,2.0,2.0,58.3,11.0,7.0,2.0,34.0,4.0,7.0,15.0,5.0,9.0,2.0,2.0,30.0,37.0,3.0,4.0
Washington Sundar,tnpl2023_24,14.0,11,1,127.3,0,0,3,0,54.5,3.0,26.0,0.0,8.67,0.0,0.0,0.0,3.0,1.0,33.3,16.0,13.0,1.0,26.0,3.0,11.0,20.0,10.0,15.0,0.0,1.0,23.0,28.0,3.0,3.0
Shahbaz Ahmed,smat2023_128,5.0,6,1,83.3,0,0,0,0,33.3,4.0,30.0,1.0,7.5,30.0,24.0,0.0,1.0,2.0,45.8,5.0,6.0,1.0,21.0,2.0,1.0,8.0,3.0,8.0,-1.0,0.0,16.0,25.0,2.0,3.0
