Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
DA Warner,ipl2023_64,46.0,31,1,148.4,0,0,5,2,38.7,0,0.0,0,0,0,0,0,0,0,0,41.0,29.0,0.0,0.0,0.0,36.0,46.0,25.0,32.0,-0.0,0.0,-0.0,0.0,0.0,0.0
PP Shaw,smat2022_136,11.0,8,1,137.5,0,0,2,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,0.0,0.0,0.0,21.0,32.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
HC Brook,t20blast2022_131,2.0,4,1,50.0,0,0,0,0,50.0,0,0.0,0,0,0,0,0,0,0,0,12.0,10.0,0.0,0.0,0.0,7.0,18.0,7.0,13.0,-0.0,0.0,-0.0,1.0,0.0,0.0
RR Pant,ipl2022_69,39.0,33,1,118.2,0,0,4,1,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,0.0,0.0,0.0,28.0,38.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nortje,sat20_2023_33,5.0,4,0,125.0,0,0,1,0,50.0,4.0,21.0,2,5.25,10.5,12.0,0,2,1,75.0,1.0,1.0,1.0,23.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,21.0,25.0,3.0,3.0
Kuldeep Yadav,smat2022_113,0.0,0,0,0,0,0,0,0,0,3.0,24.0,0,8.00,0,0,0,4,0,38.9,2.0,3.0,0.0,26.0,3.0,1.0,3.0,2.0,4.0,0.0,1.0,23.0,28.0,3.0,3.0
Mukesh Kumar,smat2021_2_100,0.0,0,0,0,0,0,0,0,0,4.0,34.0,1,8.50,34.0,24.0,0,4,1,37.5,0.0,0.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,22.0,2.0,3.0
KK Ahmed,smat2022_061,0.0,0,0,0,0,0,0,0,0,4.0,36.0,1,9.00,36.0,24.0,0,2,2,33.3,0.0,0.0,1.0,30.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,32.0,3.0,4.0
JA Richardson,ipl2021_11,0.0,0,0,0,0,0,0,0,0,4.0,41.0,2,10.25,20.5,12.0,0,2,3,37.5,4.0,3.0,2.0,28.0,3.0,2.0,6.0,2.0,5.0,2.0,2.0,26.0,31.0,3.0,4.0
AR Patel,ipl2023_64,0.0,0,0,0,0,0,0,0,0,3.0,27.0,1,9.00,27.0,18.0,0,4,0,16.7,9.0,7.0,1.0,22.0,3.0,7.0,12.0,6.0,9.0,0.0,1.0,20.0,24.0,3.0,3.0
Lalit Yadav,smat2022_135,0.0,0,0,0,0,0,0,0,0,2.5,32.0,1,11.29,32.0,17.0,0,2,2,17.6,6.0,8.0,1.0,21.0,3.0,2.0,11.0,4.0,11.0,0.0,1.0,17.0,26.0,2.0,3.0
MR Marsh,ipl2023_59,3.0,4,1,75.0,0,0,0,0,50.0,1.0,21.0,0,21.00,0,0,0,1,2,16.7,24.0,16.0,0.0,20.0,2.0,17.0,31.0,12.0,19.0,-0.0,1.0,17.0,23.0,1.0,2.0
