Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
B Sai Sudharsan,tnpl2022_32,65.0,42,1,154.8,1,0,8,1,23.8,0,0.0,0,0,0,0,0,0,0,0,33.0,27.0,0.0,0.0,0.0,25.0,41.0,22.0,32.0,-0.0,0.0,-1.0,1.0,1.0,0.0
DA Miller,t20blast2017_131,0.0,2,1,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,12.0,18.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Shubman Gill,smat2022_134,45.0,32,1,140.6,0,0,7,1,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,0.0,0.0,0.0,24.0,35.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
WP Saha,smat2022_086,1.0,3,1,33.3,0,0,0,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,7.0,18.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Shami,ipl2023_62,0.0,1,1,0.0,0,0,0,0,100.0,4.0,21.0,4,5.25,5.2,6.0,0,1,1,54.2,4.0,2.0,1.0,26.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,24.0,28.0,3.0,4.0
MM Sharma,smat2022_128,0.0,0,0,0,0,0,0,0,0,4.0,23.0,1,5.75,23.0,24.0,0,2,1,62.5,1.0,1.0,0.0,14.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,11.0,18.0,2.0,2.0
Noor Ahmad,t100m2022_01,9.0,4,0,225.0,0,0,0,1,25.0,2.3,31.0,0,12.40,0,0,0,2,1,13.3,4.0,5.0,1.0,18.0,3.0,3.0,5.0,4.0,6.0,0.0,1.0,16.0,20.0,3.0,3.0
SH Johnson,bbl2022_61,0.0,0,0,0,0,0,0,0,0,4.0,37.0,1,9.25,37.0,24.0,0,5,0,33.3,0.0,0.0,1.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,18.0,1.0,1.0
R Tewatia,smat2022_128,2.0,3,1,66.7,0,0,0,0,33.3,2.0,20.0,0,10.00,0,0,0,2,0,8.3,11.0,8.0,1.0,15.0,2.0,8.0,14.0,6.0,10.0,0.0,1.0,13.0,18.0,2.0,2.0
Rashid Khan,t20blast2022_123,25.0,12,0,208.3,0,0,1,2,25.0,4.0,24.0,2,6.00,12.0,12.0,0,1,1,33.3,4.0,3.0,1.0,25.0,4.0,3.0,5.0,2.0,4.0,1.0,1.0,24.0,26.0,4.0,4.0
V Shankar,tnpl2021_26,47.0,40,1,117.5,0,0,3,1,25.0,2.0,22.0,1,11.00,22.0,12.0,0,1,2,41.7,21.0,15.0,0.0,14.0,2.0,17.0,25.0,12.0,17.0,-0.0,0.0,11.0,16.0,1.0,2.0
M Shahrukh Khan,tnpl2022_32,22.0,17,1,129.4,0,0,2,1,35.3,0,0.0,0,0,0,0,0,0,0,0,18.0,13.0,0.0,2.0,0.0,15.0,22.0,11.0,15.0,-0.0,0.0,0.0,4.0,0.0,0.0
