Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
RG Sharma,ipl2023_63,37.0,25,1,148.0,0,0,1,3,28.0,0,0.0,0,0,0,0,0,0,0,0,18.0,15.0,0.0,0.0,0.0,14.0,22.0,12.0,17.0,-0.0,0.0,-0.0,0.0,0.0,0.0
SA Yadav,smat2021_095,22.0,15,1,146.7,0,0,3,0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,16.0,26.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
TH David,t20blast2022_133,8.0,11,1,72.7,0,0,0,0,45.5,0,0.0,0,0,0,0,0,0,0,0,18.0,11.0,0.0,2.0,0.0,15.0,21.0,10.0,13.0,-0.0,0.0,0.0,3.0,0.0,0.0
Ishan Kishan,smat2021_081,27.0,19,1,142.1,0,0,3,1,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0,0.0,25.0,35.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Bumrah,ipl2022_69,0.0,0,0,0,0,0,0,0,0,4.0,25.0,3,6.25,8.3,8.0,0,0,2,45.8,1.0,1.0,1.0,26.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,24.0,28.0,3.0,4.0
D Madushanka,lpl2022_13,7.0,4,1,175.0,0,0,0,1,50.0,3.0,41.0,2,13.67,20.5,9.0,0,5,2,27.8,1.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,3.0,-1.0,1.0,-2.0,2.0,1.0,1.0
HH Pandya,ipl2023_62,8.0,6,1,133.3,0,0,1,0,33.3,0,0.0,0,0,0,0,0,0,0,0,18.0,13.0,0.0,4.0,1.0,15.0,21.0,10.0,15.0,-0.0,0.0,2.0,7.0,0.0,1.0
NT Tilak Varma,smat2022_051,62.0,46,1,134.8,1,0,6,2,32.6,1.0,13.0,1,13.00,13.0,6.0,0,1,1,33.3,29.0,22.0,0.0,12.0,1.0,22.0,37.0,17.0,26.0,0.0,1.0,10.0,13.0,1.0,1.0
PP Chawla,smat2022_124,10.0,2,0,500.0,0,0,1,1,0.0,4.0,40.0,1,10.00,40.0,24.0,0,2,3,41.7,0.0,1.0,1.0,29.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,26.0,31.0,3.0,4.0
G Coetzee,sat20_2023_32,12.0,17,1,70.6,0,0,0,1,64.7,4.0,41.0,0,10.25,0,0,0,2,2,37.5,1.0,0.0,-0.0,8.0,1.0,1.0,2.0,1.0,3.0,-1.0,1.0,2.0,14.0,1.0,1.0
Mohammad Nabi,t20blast2021_122,8.0,7,1,114.3,0,0,1,0,28.6,4.0,23.0,2,5.75,11.5,12.0,0,2,0,41.7,15.0,11.0,1.0,22.0,3.0,13.0,16.0,10.0,12.0,1.0,1.0,21.0,23.0,3.0,3.0
