Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
F du Plessis,t20blast2019_123,32.0,21,1,152.4,0,0,1,2,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0,0.0,26.0,34.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
V Kohli,ipl2023_65,100.0,63,1,158.7,0,1,12,4,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,3.0,13.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
RM Patidar,smat2022_117,52.0,32,1,162.5,1,0,5,3,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,19.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
KD Karthik,tnpl2022_20,21.0,16,1,131.2,0,0,3,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,14.0,21.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Dagar,smat2022_136,21.0,12,0,175.0,0,0,2,1,25.0,4.0,24.0,2,6.00,12.0,12.0,0,1,1,37.5,0.0,1.0,1.0,16.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,14.0,19.0,3.0,4.0
Mohammed Siraj,ipl2023_65,0.0,0,0,0,0,0,0,0,0,4.0,17.0,1,4.25,17.0,24.0,0,2,0,75.0,2.0,2.0,1.0,36.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,34.0,38.0,3.0,4.0
V Vyshak,smat2022_130,0.0,0,0,0,0,0,0,0,0,4.0,46.0,0,11.50,0,0,0,4,3,25.0,1.0,2.0,0.0,10.0,1.0,0.0,2.0,0.0,3.0,-0.0,0.0,1.0,19.0,0.0,1.0
AS Joseph,sat20_2023_22,0.0,0,0,0,0,0,0,0,0,4.0,38.0,0,9.50,0,0,0,4,1,33.3,4.0,4.0,1.0,20.0,3.0,3.0,6.0,3.0,5.0,1.0,1.0,18.0,22.0,3.0,3.0
Yash Dayal,smat2022_113,0.0,0,0,0,0,0,0,0,0,3.0,28.0,0,9.33,0,0,0,5,0,61.1,0.0,0.0,-0.0,13.0,2.0,0.0,0.0,1.0,0.0,-1.0,0.0,5.0,20.0,2.0,2.0
GJ Maxwell,t20blast2019_127,14.0,11,1,127.3,0,0,3,0,54.5,4.0,26.0,1,6.50,26.0,24.0,0,1,0,20.8,27.0,17.0,1.0,11.0,2.0,23.0,31.0,15.0,19.0,0.0,1.0,9.0,12.0,2.0,2.0
Cameron Green,ipl2023_63,4.0,6,0,66.7,0,0,0,0,50.0,2.0,16.0,1,8.00,16.0,12.0,0,1,1,41.7,8.0,6.0,0.0,15.0,2.0,1.0,16.0,1.0,11.0,-0.0,1.0,9.0,21.0,1.0,2.0
