Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
D Padikkal,smat2021_096,11.0,10,1,110.0,0,0,2,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,0.0,0.0,0.0,20.0,30.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
A Badoni,smat2022_131,11.0,15,1,73.3,0,0,0,0,33.3,0,0.0,0,0,0,0,0,0,0,0,9.0,8.0,0.0,1.0,0.0,3.0,16.0,4.0,12.0,-0.0,0.0,1.0,2.0,0.0,0.0
AJ Turner,t20blast2022_124,20.0,15,1,133.3,0,0,1,1,33.3,0,0.0,0,0,0,0,0,0,0,0,21.0,15.0,0.0,3.0,0.0,18.0,25.0,12.0,17.0,-0.0,0.0,2.0,4.0,0.0,0.0
KL Rahul,ipl2023_43,0.0,3,0,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,36.0,0.0,0.0,0.0,49.0,62.0,31.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
Q de Kock,t100m2022_31,8.0,6,1,133.3,0,0,2,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,0.0,0.0,31.0,40.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
N Pooran,t20blast2019_023,43.0,31,1,138.7,0,0,3,3,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,15.0,22.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
MA Wood,t20blast2020_004,6.0,3,0,200.0,0,0,1,0,0.0,4.0,24.0,1,6.00,24.0,24.0,0,1,1,41.7,5.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,6.0,1.0,1.0,-6.0,11.0,1.0,1.0
MP Yadav,t20blast2020_004,6.0,3,0,200.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohsin Khan,ipl2023_63,0.0,0,0,0,0,0,0,0,0,3.0,26.0,1,8.67,26.0,18.0,0,1,2,55.6,2.0,1.0,1.0,20.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,15.0,26.0,1.0,1.0
Ravi Bishnoi,smat2022_061,0.0,0,0,0,0,0,0,0,0,4.0,24.0,3,6.00,8.0,8.0,0,2,0,58.3,0.0,1.0,-0.0,23.0,3.0,0.0,1.0,0.0,1.0,-0.0,-0.0,21.0,25.0,3.0,4.0
