Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
AM Rahane,ipl2015_03,0,8,1,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,39,0.0,0.0,0.0
AM Rahane,ipl2015_06,47,39,1,120.5,0,0,2,3,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,39,0.0,0.0,0.0
AM Rahane,ipl2015_09,46,39,1,117.9,0,0,4,0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,56,0.0,0.0,0.0
AM Rahane,ipl2015_12,62,56,1,110.7,1,0,9,0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,55,0.0,0.0,0.0
AM Rahane,ipl2015_16,76,55,0,138.2,1,0,6,2,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,54,0.0,0.0,0.0
AM Rahane,ipl2015_19,74,54,1,137.0,1,0,6,2,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,12,0.0,0.0,0.0
AM Rahane,ipl2015_23,18,12,1,150.0,0,0,2,1,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,12,0.0,0.0,0.0
AM Rahane,ipl2015_33,16,12,1,133.3,0,0,2,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,54,0.0,0.0,0.0
AM Rahane,ipl2015_37,91,54,0,168.5,1,0,9,3,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,0.0,0.0,0.0
AM Rahane,ipl2015_42,8,6,1,133.3,0,0,2,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,17,0.0,0.0,0.0
AM Rahane,ipl2015_47,23,17,1,135.3,0,0,4,0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,22,0.0,0.0,0.0
AM Rahane,ipl2015_54,37,22,1,168.2,0,0,3,2,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,39,0.0,0.0,0.0
AM Rahane,ipl2015_58,42,39,1,107.7,0,0,4,0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,42,0.0,0.0,0.0
