Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
DA Warner,bbl2022_39,19,20,1,95.0,0,0,2,0,45.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
DA Warner,bbl2022_42,0,2,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,0
DA Warner,bbl2022_47,26,23,1,113.0,0,0,1,1,34.8,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0
DA Warner,bbl2022_50,16,23,1,69.6,0,0,1,0,43.5,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
DA Warner,bbl2022_56,2,3,1,66.7,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,36,20,0,0,0
DA Warner,bbl2022_57,36,20,0,180.0,0,0,5,0,30.0,0,0,0,0,0,0,0,0,0,0,37,39,0,0,0
DA Warner,bbl2023_34,37,39,1,94.9,0,0,1,2,41.0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0
DA Warner,bbl2023_37,13,10,1,130.0,0,0,2,0,50.0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0
DA Warner,bpl2019_03,14,13,0,107.7,0,0,3,0,69.2,0,0,0,0,0,0,0,0,0,0,59,47,0,0,0
DA Warner,bpl2019_07,59,47,1,125.5,1,0,2,1,21.3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0
DA Warner,bpl2019_12,7,3,1,233.3,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
DA Warner,bpl2019_16,0,7,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,61,36,0,0,0
DA Warner,bpl2019_18,61,36,0,169.4,1,0,6,2,25.0,0,0,0,0,0,0,0,0,0,0,58,40,0,0,0
DA Warner,bpl2019_19,58,40,0,145.0,1,0,7,1,35.0,0,0,0,0,0,0,0,0,0,0,19,21,0,0,0
DA Warner,bpl2019_21,19,21,1,90.5,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0
DA Warner,cpl2018_01,9,9,1,100.0,0,0,1,0,33.3,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0
DA Warner,cpl2018_04,11,21,1,52.4,0,0,1,0,66.7,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0
