Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
RK Singh,ipl2018_03,6,6,1,100.0,0,0,1,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0
RK Singh,ipl2018_05,2,4,1,50.0,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,18,0.0,0.0,0.0
RK Singh,ipl2018_33,16,18,1,88.9,0,0,2,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0
RK Singh,ipl2018_41,5,3,1,166.7,0,0,1,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,25,0.0,0.0,0.0
RK Singh,ipl2019_38,30,25,1,120.0,0,0,1,2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0
RK Singh,ipl2019_43,3,3,0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0.0,0.0,0.0
RK Singh,ipl2019_56,4,6,1,66.7,0,0,0,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0
RK Singh,ipl2020_49,11,11,1,100.0,0,0,1,0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,28,0.0,0.0,0.0
RK Singh,ipl2022_35,35,28,1,125.0,0,0,4,1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,16,0.0,0.0,0.0
RK Singh,ipl2022_41,23,16,1,143.8,0,0,3,0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,23,0.0,0.0,0.0
RK Singh,ipl2022_47,42,23,0,182.6,0,0,6,1,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,0.0,0.0,0.0
RK Singh,ipl2022_53,6,10,1,60.0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,19,0.0,0.0,0.0
RK Singh,ipl2022_56,23,19,0,121.1,0,0,2,1,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,0.0,0.0,0.0
RK Singh,ipl2022_61,5,6,1,83.3,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,15,0.0,0.0,0.0
RK Singh,ipl2022_66,40,15,1,266.7,0,0,2,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0
RK Singh,ipl2023_02,4,4,1,100.0,0,0,0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,33,0.0,0.0,0.0
RK Singh,ipl2023_09,46,33,1,139.4,0,0,2,3,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,21,0.0,0.0,0.0
RK Singh,ipl2023_13,48,21,0,228.6,0,0,1,6,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,31,0.0,0.0,0.0
RK Singh,ipl2023_19,58,31,0,187.1,1,0,4,4,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18,0.0,0.0,0.0
RK Singh,ipl2023_22,18,18,1,100.0,0,0,2,0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,0.0,0.0,0.0
RK Singh,ipl2023_28,6,8,1,75.0,0,0,1,0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,33,0.0,0.0,0.0
RK Singh,ipl2023_33,53,33,0,160.6,1,0,3,4,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,10,0.0,0.0,0.0
RK Singh,ipl2023_36,18,10,0,180.0,0,0,2,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,20,0.0,0.0,0.0
RK Singh,ipl2023_39,19,20,1,95.0,0,0,0,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,35,0.0,0.0,0.0
RK Singh,ipl2023_47,46,35,1,131.4,0,0,4,1,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,10,0.0,0.0,0.0
RK Singh,ipl2023_53,21,10,0,210.0,0,0,2,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,18,0.0,0.0,0.0
RK Singh,ipl2023_56,16,18,1,88.9,0,0,0,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,43,0.0,0.0,0.0
RK Singh,ipl2023_61,54,43,1,125.6,1,0,4,3,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,33,0.0,0.0,0.0
RK Singh,ipl2023_68,67,33,0,203.0,1,0,6,4,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,15,0.0,0.0,0.0
RK Singh,ipl2024_03,23,15,1,153.3,0,0,3,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,47,0.0,0.0,0.0
RK Singh,smat2022_113,79,47,1,168.1,1,0,7,4,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,34,0.0,0.0,0.0
RK Singh,smat2023_072,58,34,0,170.6,1,0,4,3,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,24,0.0,0.0,0.0
RK Singh,smat2023_082,50,24,0,208.3,1,0,6,2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,16,0.0,0.0,0.0
RK Singh,smat2023_099,31,16,0,193.8,0,0,4,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0
RK Singh,smat2023_127,3,4,1,75.0,0,0,0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,33,0.0,0.0,0.0
RK Singh,smat2023_130,77,33,0,233.3,1,0,4,6,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
SS Iyer,ipl2015_02,7,7,1,100.0,0,0,1,0,42.9,0,0,0,0,0,0,0,0,0,0,40,30,0,0,0
SS Iyer,ipl2015_06,40,30,1,133.3,0,0,3,3,46.7,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
SS Iyer,ipl2015_11,6,5,1,120.0,0,0,1,0,60.0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0
SS Iyer,ipl2015_14,60,40,1,150.0,1,0,3,5,42.5,0,0,0,0,0,0,0,0,0,0,31,24,0,0,0
SS Iyer,ipl2015_18,31,24,1,129.2,0,0,3,1,37.5,0,0,0,0,0,0,0,0,0,0,83,56,0,0,0
SS Iyer,ipl2015_22,83,56,1,148.2,1,0,7,5,37.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SS Iyer,ipl2015_27,0,1,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,40,35,0,0,0
SS Iyer,ipl2015_29,40,35,1,114.3,0,0,3,2,42.9,0,0,0,0,0,0,0,0,0,0,54,40,0,0,0
SS Iyer,ipl2015_32,54,40,1,135.0,1,0,4,3,37.5,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0
SS Iyer,ipl2015_37,9,12,1,75.0,0,0,2,0,75.0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0
SS Iyer,ipl2015_40,19,18,1,105.6,0,0,3,0,55.6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
SS Iyer,ipl2015_45,0,7,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,70,49,0,0,0
SS Iyer,ipl2015_49,70,49,0,142.9,1,0,10,1,34.7,0,0,0,0,0,0,0,0,0,0,20,18,0,0,0
SS Iyer,ipl2015_55,20,18,1,111.1,0,0,1,1,38.9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
SS Iyer,ipl2016_02,0,3,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
SS Iyer,ipl2016_07,3,5,1,60.0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
SS Iyer,ipl2016_11,0,4,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0
SS Iyer,ipl2016_17,19,20,1,95.0,0,0,1,1,50.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SS Iyer,ipl2016_26,0,1,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0
SS Iyer,ipl2016_49,8,10,1,80.0,0,0,1,0,50.0,0,0,0,0,0,0,0,0,0,0,22,17,0,0,0
SS Iyer,ipl2017_15,22,17,1,129.4,0,0,3,0,35.3,0,0,0,0,0,0,0,0,0,0,26,17,0,0,0
SS Iyer,ipl2017_18,26,17,1,152.9,0,0,4,0,17.6,0,0,0,0,0,0,0,0,0,0,50,31,0,0,0
SS Iyer,ipl2017_21,50,31,0,161.3,1,0,5,2,22.6,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0
SS Iyer,ipl2017_24,6,7,1,85.7,0,0,1,0,71.4,0,0,0,0,0,0,0,0,0,0,47,34,0,0,0
SS Iyer,ipl2017_32,47,34,1,138.2,0,0,4,1,20.6,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0
SS Iyer,ipl2017_36,6,7,1,85.7,0,0,1,0,57.1,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0
SS Iyer,ipl2017_40,33,25,1,132.0,0,0,1,2,32.0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0
SS Iyer,ipl2017_42,14,8,0,175.0,0,0,0,2,50.0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0
SS Iyer,ipl2017_45,3,6,1,50.0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,96,57,0,0,0
SS Iyer,ipl2017_50,96,57,1,168.4,1,0,15,2,33.3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
SS Iyer,ipl2017_52,3,4,1,75.0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,32,30,0,0,0
SS Iyer,ipl2017_56,32,30,1,106.7,0,0,2,1,40.0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0
SS Iyer,ipl2018_02,11,11,1,100.0,0,0,0,1,45.5,0,0,0,0,0,0,0,0,0,0,27,20,0,0,0
SS Iyer,ipl2018_09,27,20,0,135.0,0,0,3,1,40.0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
SS Iyer,ipl2018_13,4,3,1,133.3,0,0,1,0,66.7,0,0,0,0,0,0,0,0,0,0,52,31,0,0,0
