Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
D Padikkal,ipl2020_03,56,42,1,133.3,1,0,8,0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0
D Padikkal,ipl2020_06,1,2,1,50.0,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,40,0.0,0.0,0.0
D Padikkal,ipl2020_10,54,40,1,135.0,1,0,5,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,45,0.0,0.0,0.0
D Padikkal,ipl2020_15,63,45,1,140.0,1,0,6,1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0.0,0.0,0.0
D Padikkal,ipl2020_19,4,6,1,66.7,0,0,0,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,34,0.0,0.0,0.0
D Padikkal,ipl2020_25,33,34,1,97.1,0,0,2,1,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,23,0.0,0.0,0.0
D Padikkal,ipl2020_28,32,23,1,139.1,0,0,4,1,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,12,0.0,0.0,0.0
D Padikkal,ipl2020_31,18,12,1,150.0,0,0,1,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,37,0.0,0.0,0.0
D Padikkal,ipl2020_33,35,37,1,94.6,0,0,2,0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,17,0.0,0.0,0.0
D Padikkal,ipl2020_39,25,17,0,147.1,0,0,3,0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,21,0.0,0.0,0.0
D Padikkal,ipl2020_44,22,21,1,104.8,0,0,2,1,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,45,0.0,0.0,0.0
D Padikkal,ipl2020_48,74,45,1,164.4,1,0,12,1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,0.0,0.0,0.0
D Padikkal,ipl2020_52,5,8,1,62.5,0,0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,41,0.0,0.0,0.0
