Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
S Dhawan,ipl2017_01,40,31,1,129.0,0,0,5,0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.0
S Dhawan,ipl2017_06,9,9,1,100.0,0,0,0,1,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,43,0.0,0.0,0.0
S Dhawan,ipl2017_10,48,43,1,111.6,0,0,5,1,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,22,0.0,0.0,0.0
S Dhawan,ipl2017_14,23,22,1,104.5,0,0,4,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0.0,0.0,0.0
S Dhawan,ipl2017_19,15,15,1,100.0,0,0,1,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,50,0.0,0.0,0.0
S Dhawan,ipl2017_21,70,50,1,140.0,1,0,7,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,29,0.0,0.0,0.0
S Dhawan,ipl2017_25,30,29,1,103.4,0,0,5,0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,48,0.0,0.0,0.0
S Dhawan,ipl2017_33,77,48,1,160.4,1,0,9,1,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,30,0.0,0.0,0.0
S Dhawan,ipl2017_37,29,30,1,96.7,0,0,2,1,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,17,0.0,0.0,0.0
S Dhawan,ipl2017_40,28,17,1,164.7,0,0,4,1,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,12,0.0,0.0,0.0
S Dhawan,ipl2017_44,19,12,1,158.3,0,0,2,1,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,46,0.0,0.0,0.0
S Dhawan,ipl2017_48,62,46,0,134.8,1,0,4,2,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,11,0.0,0.0,0.0
S Dhawan,ipl2017_53,18,11,1,163.6,0,0,4,0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13,0.0,0.0,0.0
S Dhawan,ipl2017_58,11,13,1,84.6,0,0,1,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,57,0.0,0.0,0.0
S Dhawan,ipl2018_04,78,57,0,136.8,1,0,13,1,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,28,0.0,0.0,0.0
S Dhawan,ipl2018_07,45,28,1,160.7,0,0,8,0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0.0,0.0,0.0
S Dhawan,ipl2018_10,7,7,1,100.0,0,0,1,0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
S Dhawan,ipl2018_16,0,1,0,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,0.0,0.0,0.0
S Dhawan,ipl2018_23,5,6,1,83.3,0,0,1,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,8,0.0,0.0,0.0
S Dhawan,ipl2018_25,11,8,1,137.5,0,0,2,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.0,0.0,0.0
S Dhawan,ipl2018_28,6,4,1,150.0,0,0,1,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,30,0.0,0.0,0.0
S Dhawan,ipl2018_36,33,30,1,110.0,0,0,2,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,19,0.0,0.0,0.0
S Dhawan,ipl2018_39,13,19,1,68.4,0,0,1,0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,50,0.0,0.0,0.0
S Dhawan,ipl2018_42,92,50,0,184.0,1,0,9,4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,49,0.0,0.0,0.0
S Dhawan,ipl2018_46,79,49,1,161.2,1,0,10,3,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,15,0.0,0.0,0.0
S Dhawan,ipl2018_51,18,15,1,120.0,0,0,0,2,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,39,0.0,0.0,0.0
S Dhawan,ipl2018_54,50,39,1,128.2,1,0,5,1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
S Dhawan,ipl2018_57,0,1,1,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,24,0.0,0.0,0.0
S Dhawan,ipl2018_59,34,24,1,141.7,0,0,4,1,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,25,0.0,0.0,0.0
S Dhawan,ipl2018_60,26,25,1,104.0,0,0,2,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,36,0.0,0.0,0.0
S Dhawan,ipl2019_03,43,36,1,119.4,0,0,4,1,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,47,0.0,0.0,0.0
S Dhawan,ipl2019_05,51,47,1,108.5,1,0,7,0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,0.0,0.0,0.0
S Dhawan,ipl2019_10,16,8,1,200.0,0,0,2,1,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,25,0.0,0.0,0.0
S Dhawan,ipl2019_13,30,25,1,120.0,0,0,4,0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14,0.0,0.0,0.0
S Dhawan,ipl2019_16,12,14,1,85.7,0,0,1,0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
