Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
V Kohli,ipl2017_12,62,47,1,131.9,1,0,5,2,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,19,0.0,0.0,0.0
V Kohli,ipl2017_17,28,19,1,147.4,0,0,3,1,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,50,0.0,0.0,0.0
V Kohli,ipl2017_20,64,50,1,128.0,1,0,7,1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0
V Kohli,ipl2017_27,0,1,1,0.0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,13,0.0,0.0,0.0
V Kohli,ipl2017_31,10,13,1,76.9,0,0,0,1,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,48,0.0,0.0,0.0
V Kohli,ipl2017_34,55,48,1,114.6,1,0,4,1,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,14,0.0,0.0,0.0
V Kohli,ipl2017_38,20,14,1,142.9,0,0,0,2,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0
V Kohli,ipl2017_43,6,6,1,100.0,0,0,1,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,9,0.0,0.0,0.0
V Kohli,ipl2017_46,5,9,1,55.6,0,0,0,0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,45,0.0,0.0,0.0
V Kohli,ipl2017_56,58,45,1,128.9,1,0,3,3,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,33,0.0,0.0,0.0
V Kohli,ipl2018_03,31,33,1,93.9,0,0,1,1,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,16,0.0,0.0,0.0
V Kohli,ipl2018_08,21,16,1,131.2,0,0,4,0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,30,0.0,0.0,0.0
V Kohli,ipl2018_11,57,30,1,190.0,1,0,7,2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,62,0.0,0.0,0.0
V Kohli,ipl2018_14,92,62,0,148.4,1,0,7,4,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,26,0.0,0.0,0.0
V Kohli,ipl2018_19,30,26,1,115.4,0,0,2,1,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,15,0.0,0.0,0.0
V Kohli,ipl2018_24,18,15,1,120.0,0,0,3,0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,44,0.0,0.0,0.0
V Kohli,ipl2018_29,68,44,0,154.5,1,0,5,3,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,26,0.0,0.0,0.0
V Kohli,ipl2018_31,32,26,1,123.1,0,0,2,1,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,11,0.0,0.0,0.0
V Kohli,ipl2018_35,8,11,1,72.7,0,0,1,0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,30,0.0,0.0,0.0
V Kohli,ipl2018_39,39,30,1,130.0,0,0,5,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,40,0.0,0.0,0.0
V Kohli,ipl2018_45,70,40,1,175.0,1,0,7,3,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,28,0.0,0.0,0.0
V Kohli,ipl2018_48,48,28,0,171.4,0,0,6,2,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,0.0,0.0,0.0
V Kohli,ipl2018_51,12,11,1,109.1,0,0,2,0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0,0.0,0.0
V Kohli,ipl2018_53,4,9,1,44.4,0,0,0,0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12,0.0,0.0,0.0
V Kohli,ipl2019_01,6,12,1,50.0,0,0,0,0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,32,0.0,0.0,0.0
V Kohli,ipl2019_07,46,32,1,143.8,0,0,6,0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0.0,0.0,0.0
V Kohli,ipl2019_11,3,10,1,30.0,0,0,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,25,0.0,0.0,0.0
V Kohli,ipl2019_14,23,25,1,92.0,0,0,3,0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,49,0.0,0.0,0.0
V Kohli,ipl2019_17,84,49,1,171.4,1,0,9,2,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,33,0.0,0.0,0.0
V Kohli,ipl2019_20,41,33,1,124.2,0,0,1,2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,53,0.0,0.0,0.0
V Kohli,ipl2019_28,67,53,1,126.4,1,0,8,0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,9,0.0,0.0,0.0
V Kohli,ipl2019_31,8,9,1,88.9,0,0,1,0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,58,0.0,0.0,0.0
