Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
YBK Jaiswal,ipl2020_04,6,6,1,100.0,0,0,1,0,50.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
YBK Jaiswal,ipl2020_20,0,2,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0
YBK Jaiswal,ipl2020_23,34,36,1,94.4,0,0,1,2,41.7,0,0,0,0,0,0,0,0,0,0,22,17,0,0,0
YBK Jaiswal,ipl2021_18,22,17,1,129.4,0,0,5,0,58.8,0,0,0,0,0,0,0,0,0,0,32,20,0,0,0
YBK Jaiswal,ipl2021_24,32,20,1,160.0,0,0,2,2,25.0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0
YBK Jaiswal,ipl2021_28,12,13,1,92.3,0,0,2,0,61.5,0,0,0,0,0,0,0,0,0,0,49,36,0,0,0
YBK Jaiswal,ipl2021_32,49,36,1,136.1,0,0,6,2,41.7,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0
YBK Jaiswal,ipl2021_36,5,4,1,125.0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,36,23,0,0,0
YBK Jaiswal,ipl2021_40,36,23,1,156.5,0,0,5,1,30.4,0,0,0,0,0,0,0,0,0,0,31,22,0,0,0
YBK Jaiswal,ipl2021_43,31,22,1,140.9,0,0,3,2,45.5,0,0,0,0,0,0,0,0,0,0,50,21,0,0,0
YBK Jaiswal,ipl2021_47,50,21,1,238.1,1,0,6,3,28.6,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0
YBK Jaiswal,ipl2021_51,12,9,1,133.3,0,0,3,0,66.7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
YBK Jaiswal,ipl2021_54,0,3,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,0
YBK Jaiswal,ipl2022_05,20,16,1,125.0,0,0,2,1,43.8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
YBK Jaiswal,ipl2022_09,1,2,1,50.0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,4,6,0.1,6,0
YBK Jaiswal,ipl2022_13,4,6,1,66.7,0,0,0,0,50.0,0.1,6,0,36.00,0,0,0,0,1,0.0,68,41,0,0,0
YBK Jaiswal,ipl2022_52,68,41,1,165.9,1,0,9,2,29.3,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0
YBK Jaiswal,ipl2022_58,19,19,1,100.0,0,0,1,1,42.1,0,0,0,0,0,0,0,0,0,0,41,29,0,0,0
YBK Jaiswal,ipl2022_63,41,29,1,141.4,0,0,6,1,41.4,0,0,0,0,0,0,0,0,0,0,59,44,0,0,0
YBK Jaiswal,ipl2022_68,59,44,1,134.1,1,0,8,1,36.4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0
YBK Jaiswal,ipl2022_71,3,8,1,37.5,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0
YBK Jaiswal,ipl2022_73,21,13,1,161.5,0,0,1,2,46.2,0,0,0,0,0,0,0,0,0,0,22,16,0,0,0
YBK Jaiswal,ipl2022_74,22,16,1,137.5,0,0,1,2,62.5,0,0,0,0,0,0,0,0,0,0,54,37,0,0,0
YBK Jaiswal,ipl2023_04,54,37,1,145.9,1,0,9,0,37.8,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0
YBK Jaiswal,ipl2023_08,11,8,1,137.5,0,0,1,1,62.5,0,0,0,0,0,0,0,0,0,0,60,31,0,0,0
YBK Jaiswal,ipl2023_11,60,31,1,193.5,1,0,11,1,29.0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0
YBK Jaiswal,ipl2023_17,10,8,1,125.0,0,0,2,0,62.5,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
YBK Jaiswal,ipl2023_23,1,7,1,14.3,0,0,0,0,85.7,0,0,0,0,0,0,0,0,0,0,44,35,0,0,0
YBK Jaiswal,ipl2023_26,44,35,1,125.7,0,0,4,2,37.1,0,0,0,0,0,0,0,0,0,0,47,37,0,0,0
YBK Jaiswal,ipl2023_32,47,37,1,127.0,0,0,5,2,40.5,0,0,0,0,0,0,0,0,0,0,77,43,0,0,0
YBK Jaiswal,ipl2023_37,77,43,1,179.1,1,0,8,4,32.6,0,0,0,0,0,0,0,0,0,0,124,62,0,0,0
YBK Jaiswal,ipl2023_41,124,62,1,200.0,0,1,16,8,43.5,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0
YBK Jaiswal,ipl2023_48,14,11,0,127.3,0,0,1,1,54.5,0,0,0,0,0,0,0,0,0,0,35,18,0,0,0
YBK Jaiswal,ipl2023_52,35,18,1,194.4,0,0,5,2,44.4,0,0,0,0,0,0,0,0,0,0,98,47,0,0,0
YBK Jaiswal,ipl2023_56,98,47,0,208.5,1,0,13,5,31.9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
YBK Jaiswal,ipl2023_60,0,2,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,50,36,0,0,0
YBK Jaiswal,ipl2023_66,50,36,1,138.9,1,0,8,0,36.1,0,0,0,0,0,0,0,0,0,0,24,12,0,0,0
YBK Jaiswal,ipl2024_04,24,12,1,200.0,0,0,3,1,25.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
YBK Jaiswal,smat2021_013,0,2,1,0.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,40,32,0,0,0
YBK Jaiswal,smat2021_038,40,32,1,125.0,0,0,4,2,46.9,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0
YBK Jaiswal,smat2021_069,15,12,1,125.0,0,0,1,1,41.7,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0
YBK Jaiswal,smat2021_095,13,13,1,100.0,0,0,2,0,53.8,0,0,0,0,0,0,0,0,0,0,66,44,0,0,0
