Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
TM Head,bbl2016_14,24,26,1,92.3,0,0,1,1,38.5,4.0,22,1,5.50,22.0,24.0,0,2,0,58.3,9,8,1.0,5,1
TM Head,bbl2016_18,9,8,1,112.5,0,0,0,1,50.0,1.0,5,1,5.00,5.0,6.0,0,1,0,66.7,36,29,3.0,28,1
TM Head,bbl2017_04,36,29,1,124.1,0,0,4,1,37.9,3.0,28,1,9.33,28.0,18.0,0,1,1,22.2,29,24,1.0,10,0
TM Head,bbl2017_09,29,24,1,120.8,0,0,3,1,41.7,1.0,10,0,10.00,0,0,0,1,0,0.0,13,18,1.0,8,1
TM Head,bbl2017_12,13,18,1,72.2,0,0,0,0,44.4,1.0,8,1,8.00,8.0,6.0,0,1,0,33.3,44,32,1.0,13,0
TM Head,bbl2017_17,44,32,1,137.5,0,0,1,3,28.1,1.0,13,0,13.00,0,0,0,2,0,16.7,12,13,0,0,0
TM Head,bbl2017_20,12,13,1,92.3,0,0,1,0,38.5,0,0,0,0,0,0,0,0,0,0,53,32,0,0,0
TM Head,bbl2017_23,53,32,1,165.6,1,0,5,3,34.4,0,0,0,0,0,0,0,0,0,0,58,47,0,0,0
TM Head,bbl2017_35,58,47,1,123.4,1,0,4,2,31.9,0,0,0,0,0,0,0,0,0,0,85,57,4.0,27,1
TM Head,bbl2017_42,85,57,0,149.1,1,0,8,1,21.1,4.0,27,1,6.75,27.0,24.0,0,2,0,33.3,44,29,3.0,30,1
TM Head,bbl2017_43,44,29,0,151.7,0,0,2,1,13.8,3.0,30,1,10.00,30.0,18.0,0,1,2,33.3,43,31,1.0,10,0
TM Head,bbl2018_27,43,31,1,138.7,0,0,1,3,32.3,1.0,10,0,10.00,0,0,0,2,0,33.3,10,18,0,0,0
TM Head,bbl2018_28,10,18,1,55.6,0,0,1,0,66.7,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
TM Head,bbl2018_54,10,10,1,100.0,0,0,1,0,40.0,0,0,0,0,0,0,0,0,0,0,22,20,4.0,26,2
TM Head,bbl2019_33,22,20,1,110.0,0,0,3,0,45.0,4.0,26,2,6.50,13.0,12.0,0,1,0,37.5,8,4,0,0,0
TM Head,bbl2019_36,8,4,1,200.0,0,0,2,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4,1
TM Head,bbl2019_40,0,0,0,0,0,0,0,0,0,1.0,4,1,4.00,4.0,6.0,0,0,0,50.0,79,40,1.0,10,0
TM Head,bbl2019_43,79,40,1,197.5,1,0,5,6,30.0,1.0,10,0,10.00,0,0,0,0,1,16.7,5,7,0,0,0
TM Head,bbl2019_48,5,7,1,71.4,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,35,31,2.0,21,0
TM Head,bbl2019_51,35,31,1,112.9,0,0,2,2,38.7,2.0,21,0,10.50,0,0,0,0,2,33.3,47,37,2.0,17,0
TM Head,bbl2019_55,47,37,1,127.0,0,0,3,2,35.1,2.0,17,0,8.50,0,0,0,2,0,25.0,32,23,1.0,9,1
TM Head,bbl2019_59,32,23,1,139.1,0,0,4,0,26.1,1.0,9,1,9.00,9.0,6.0,0,1,0,16.7,25,19,0,0,0
