Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
AM Rahane,smat2022_136,1.0,5,1,20.0,0,0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,20.0,29.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
RD Gaikwad,smat2021_2_090,44.0,34,1,129.4,0,0,6,0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,17.0,33.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
DP Conway,t20blast2021_124,4.0,6,1,66.7,0,0,1,0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,0.0,0.0,0.0,20.0,34.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
MS Dhoni,ipl2023_61,2.0,3,0,66.7,0,0,0,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,12.0,20.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
DL Chahar,smat2021_094,2.0,3,0,66.7,0,0,0,0,33.3,4.0,36.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,25.0,4.0,2.0,1.0,21.0,3.0,3.0,6.0,2.0,3.0,1.0,1.0,19.0,23.0,3.0,4.0
M Theekshana,sat20_2023_32,0.0,0,0,0.0,0,0,0,0,0.0,4.0,29.0,0.0,7.25,0.0,0.0,0.0,2.0,1.0,37.5,0.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,24.0,29.0,3.0,4.0
M Pathirana,ipl2023_61,0.0,0,0,0.0,0,0,0,0,0.0,3.0,23.0,0.0,7.67,0.0,0.0,0.0,1.0,0.0,61.1,0.0,0.0,1.0,28.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,21.0,34.0,2.0,3.0
SN Thakur,ipl2023_61,0.0,0,0,0.0,0,0,0,0,0.0,3.0,15.0,1.0,5.0,15.0,18.0,0.0,1.0,0.0,44.4,2.0,2.0,1.0,33.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,30.0,35.0,3.0,3.0
RA Jadeja,ipl2023_61,20.0,24,1,83.3,0,0,0,1,41.7,2.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,33.3,7.0,6.0,0.0,24.0,3.0,5.0,10.0,4.0,8.0,0.0,1.0,22.0,26.0,3.0,3.0
S Dube,smat2022_136,7.0,9,1,77.8,0,0,1,0,55.6,2.0,16.0,1.0,8.0,16.0,12.0,0.0,2.0,0.0,16.7,17.0,15.0,1.0,11.0,2.0,13.0,22.0,12.0,18.0,0.0,1.0,8.0,14.0,1.0,2.0
DJ Mitchell,t20blast2021_123,43.0,30,1,143.3,0,0,1,3,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,1.0,18.0,2.0,26.0,36.0,19.0,25.0,0.0,1.0,15.0,21.0,2.0,2.0
