Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
N Rana,smat2022_131,10.0,14,1,71.4,0,0,0,0,42.9,3.0,18.0,0,6.00,0,0,0,0,1,27.8,21.0,15.0,0.0,6.0,1.0,16.0,25.0,12.0,18.0,0.0,1.0,5.0,7.0,1.0,1.0
RK Singh,smat2022_113,79.0,47,1,168.1,1,0,7,4,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,0.0,0.0,0.0,24.0,38.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
SS Iyer,smat2022_136,34.0,26,1,130.8,0,0,4,1,38.5,0,0.0,0,0,0,0,0,0,0,0,22.0,19.0,0.0,0.0,0.0,18.0,27.0,16.0,22.0,-0.0,0.0,-0.0,0.0,0.0,0.0
Rahmanullah Gurbaz,scl2020_19,4.0,3,1,133.3,0,0,1,0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,18.0,28.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
VG Arora,smat2022_136,2.0,2,0,100.0,0,0,0,0,0.0,4.0,27.0,3,6.75,9.0,8.0,0,0,2,75.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,16.0,1.0,2.0
CV Varun,tnpl2022_29,0.0,0,0,0,0,0,0,0,0,2.5,16.0,0,5.65,0,0,0,2,0,52.9,1.0,1.0,0.0,19.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,16.0,21.0,3.0,4.0
C Sakariya,smat2022_133,0.0,0,0,0,0,0,0,0,0,4.0,33.0,4,8.25,8.2,6.0,0,4,0,62.5,1.0,2.0,1.0,18.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,14.0,21.0,1.0,2.0
MA Starc,ipl2023_03,4.0,4,1,100.0,0,0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Russell,t100m2022_21,17.0,17,1,100.0,0,0,0,2,58.8,3.2,34.0,1,10.20,34.0,20.0,0,4,1,45.0,18.0,11.0,1.0,22.0,2.0,15.0,21.0,10.0,13.0,1.0,1.0,21.0,24.0,2.0,2.0
SP Narine,t20blast2022_127,0.0,1,1,0.0,0,0,0,0,100.0,4.0,26.0,1,6.50,26.0,24.0,0,2,0,25.0,12.0,8.0,1.0,27.0,4.0,10.0,14.0,7.0,9.0,1.0,1.0,26.0,28.0,4.0,4.0
VR Iyer,smat2022_033,57.0,35,1,162.9,1,0,5,2,17.1,2.0,23.0,1,11.50,23.0,12.0,0,3,1,25.0,4.0,8.0,1.0,7.0,1.0,1.0,12.0,3.0,12.0,1.0,1.0,4.0,10.0,1.0,1.0
