Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
S Dhawan,smat2022_131,37.0,27,1,137.0,0,0,7,0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,24.0,0.0,0.0,0.0,27.0,38.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
JM Sharma,smat2022_135,46.0,24,0,191.7,0,0,3,3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,5.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Prabhsimran Singh,smat2022_134,8.0,10,1,80.0,0,0,1,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,7.0,27.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Arshdeep Singh,smat2021_2_071,0.0,0,0,0,0,0,0,0,0,4.0,26.0,0,6.50,0,0,0,4,0,58.3,0.0,1.0,1.0,24.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,21.0,27.0,2.0,3.0
K Rabada,sat20_2023_29,0.0,3,0,0.0,0,0,0,0,100.0,3.0,27.0,0,9.00,0,0,0,5,0,38.9,1.0,1.0,1.0,31.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,29.0,33.0,3.0,4.0
RD Chahar,smat2022_061,8.0,4,0,200.0,0,0,0,1,25.0,3.0,26.0,0,8.67,0,0,0,2,1,22.2,5.0,10.0,1.0,28.0,3.0,4.0,6.0,9.0,11.0,1.0,1.0,26.0,30.0,3.0,4.0
HV Patel,smat2021_2_060,26.0,14,1,185.7,0,0,4,1,35.7,4.0,30.0,1,7.50,30.0,24.0,0,4,0,45.8,6.0,4.0,1.0,28.0,3.0,3.0,8.0,3.0,5.0,1.0,1.0,26.0,31.0,3.0,3.0
LS Livingstone,t20blast2022_056,2.0,6,1,33.3,0,0,0,0,66.7,4.0,40.0,1,10.00,40.0,24.0,0,4,2,41.7,26.0,18.0,1.0,16.0,2.0,22.0,30.0,16.0,20.0,1.0,1.0,14.0,18.0,2.0,2.0
A Taide,smat2022_135,29.0,22,1,131.8,0,0,3,1,40.9,0,0.0,0,0,0,0,0,0,0,0,20.0,15.0,0.0,4.0,0.0,9.0,30.0,8.0,21.0,-0.0,0.0,-1.0,8.0,0.0,0.0
SM Curran,t20blast2022_112,50.0,30,1,166.7,1,0,0,5,20.0,0,0.0,0,0,0,0,0,0,0,0,8.0,7.0,1.0,20.0,2.0,5.0,12.0,5.0,9.0,1.0,1.0,17.0,22.0,2.0,2.0
Sikandar Raza,psl2023_34,1.0,2,1,50.0,0,0,0,0,50.0,0,0.0,0,0,0,0,0,0,0,0,17.0,14.0,0.0,16.0,2.0,13.0,22.0,11.0,16.0,0.0,1.0,13.0,19.0,2.0,2.0
