Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
YBK Jaiswal,smat2022_136,27.0,28,1,96.4,0,0,3,1,53.6,0,0.0,0,0,0,0,0,0,0,0,37.0,22.0,0.0,0.0,0.0,29.0,45.0,17.0,26.0,-0.0,0.0,-0.0,0.0,0.0,0.0
R Parag,smat2022_117,75.0,41,1,182.9,1,0,7,4,26.8,3.0,39.0,0,13.00,0,0,0,2,3,27.8,14.0,8.0,1.0,0.0,1.0,9.0,19.0,5.0,12.0,1.0,1.0,-3.0,3.0,1.0,0.0
SO Hetmyer,psl2021_16,7.0,9,1,77.8,0,0,0,0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,18.0,25.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
R Powell,psl2023_27,2.0,4,1,50.0,0,0,0,0,50.0,0,0.0,0,0,0,0,0,0,0,0,23.0,15.0,0.0,6.0,0.0,19.0,27.0,13.0,17.0,-0.0,0.0,4.0,8.0,0.0,1.0
SV Samson,smat2022_127,59.0,38,1,155.3,1,0,8,0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,18.0,27.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
DC Jurel,ipl2023_60,1.0,7,1,14.3,0,0,0,0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JC Buttler,t20blast2022_110,42.0,29,1,144.8,0,0,2,3,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,0.0,0.0,0.0,29.0,38.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
YS Chahal,smat2021_2_060,1.0,1,0,100.0,0,0,0,0,0.0,4.0,31.0,1,7.75,31.0,24.0,0,1,2,37.5,0.0,1.0,1.0,26.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,24.0,28.0,3.0,4.0
M Prasidh Krishna,smat2021_096,1.0,5,1,20.0,0,0,0,0,80.0,3.0,22.0,0,7.33,0,0,0,1,2,61.1,1.0,0.0,1.0,24.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,27.0,3.0,3.0
TA Boult,ssnz2021_30,0.0,0,0,0,0,0,0,0,0,3.0,40.0,2,13.33,20.0,9.0,0,7,1,27.8,1.0,1.0,1.0,21.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,19.0,22.0,3.0,4.0
R Ashwin,tnpl2022_21,25.0,29,1,86.2,0,0,2,1,51.7,4.0,21.0,1,5.25,21.0,24.0,0,0,1,41.7,7.0,7.0,1.0,29.0,3.0,4.0,9.0,5.0,9.0,0.0,1.0,27.0,30.0,3.0,4.0
