Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
AK Markram,sat20_2023_33,26.0,19,1,136.8,0,0,2,1,42.1,4.0,17.0,1,4.25,17.0,24.0,0,1,0,45.8,28.0,21.0,0.0,7.0,1.0,23.0,33.0,18.0,25.0,-0.0,1.0,4.0,9.0,1.0,1.0
RA Tripathi,smat2021_2_096,66.0,45,1,146.7,1,0,5,3,24.4,0,0.0,0,0,0,0,0,0,0,0,24.0,16.0,0.0,0.0,0.0,20.0,29.0,14.0,19.0,-0.0,0.0,-0.0,0.0,0.0,0.0
MA Agarwal,smat2022_130,8.0,6,1,133.3,0,0,0,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,17.0,27.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
TM Head,t20blast2021_108,5.0,8,1,62.5,0,0,0,0,37.5,0,0.0,0,0,0,0,0,0,0,0,31.0,20.0,0.0,3.0,0.0,25.0,37.0,17.0,24.0,-0.0,0.0,1.0,6.0,0.0,0.0
H Klaasen,sat20_2023_28,104.0,44,0,236.4,0,1,10,6,11.4,0,0.0,0,0,0,0,0,0,0,0,15.0,10.0,-0.0,1.0,0.0,8.0,21.0,6.0,13.0,-0.0,0.0,-0.0,2.0,0.0,0.0
B Kumar,ipl2023_65,0.0,0,0,0,0,0,0,0,0,4.0,48.0,1,12.00,48.0,24.0,0,7,2,45.8,1.0,1.0,1.0,27.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,25.0,28.0,3.0,4.0
Umran Malik,smat2021_2_072,0.0,0,0,0,0,0,0,0,0,4.0,44.0,0,11.00,0,0,0,6,2,41.7,0.0,0.0,0.0,23.0,2.0,1.0,2.0,1.0,1.0,-0.0,1.0,19.0,27.0,2.0,3.0
PJ Cummins,ipl2022_56,0.0,2,1,0.0,0,0,0,0,100.0,4.0,22.0,3,5.50,7.3,8.0,0,2,0,50.0,12.0,7.0,1.0,28.0,3.0,7.0,17.0,4.0,10.0,1.0,1.0,25.0,32.0,3.0,3.0
Shahbaz Ahmed,smat2021_2_100,0.0,1,1,0.0,0,0,0,0,100.0,4.0,36.0,1,9.00,36.0,24.0,0,4,1,25.0,2.0,4.0,0.0,17.0,2.0,1.0,5.0,1.0,6.0,-0.0,1.0,13.0,21.0,2.0,2.0
Washington Sundar,tnpl2017_32,14.0,12,1,116.7,0,0,1,1,58.3,4.0,39.0,1,9.75,39.0,24.0,0,1,3,33.3,12.0,8.0,2.0,20.0,3.0,7.0,17.0,5.0,11.0,1.0,2.0,18.0,23.0,2.0,3.0
T Natarajan,tnpl2019_25,0.0,0,0,0,0,0,0,0,0,4.0,15.0,2,3.75,7.5,12.0,0,2,0,79.2,0.0,0.0,1.0,22.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,25.0,3.0,4.0
