Player,Role,Team ID,Players_Link,Credit
N Rana,Batsman,KKR,https://www.kkr.in/static-assets/images/players/2020/63649.png?v=5.34&w=200,8.5
RK Singh,Batsman,KKR,https://www.kkr.in/static-assets/images/players/2020/64727.png?v=5.34&w=200,8.0
SS Iyer,Batsman,KKR,https://www.kkr.in/static-assets/images/players/2020/63961.png?v=5.34&w=200,10.0
Rahmanullah Gurbaz,WK,KKR,https://www.kkr.in/static-assets/images/players/2020/68027.png?v=5.34&w=200,8.0
VG Arora,Bowler,KKR,https://www.kkr.in/static-assets/images/players/2020/74298.png?v=5.34&w=200,8.0
CV Varun,Bowler,KKR,https://www.kkr.in/static-assets/images/players/2020/67469.png?v=5.34&w=200,9.0
C Sakariya,Bowler,KKR,https://www.kkr.in/static-assets/images/players/2020/68173.png?v=5.34&w=200,8.5
MA Starc,Bowler,KKR,https://www.kkr.in/static-assets/images/players/2020/10053.png?v=5.34&w=200,8.5
AD Russell,AR,KKR,https://www.kkr.in/static-assets/images/players/2020/12047.png?v=5.34&w=200,10.5
SP Narine,AR,KKR,https://www.kkr.in/static-assets/images/players/2020/11229.png?v=5.34&w=200,9.5
VR Iyer,AR,KKR,https://www.kkr.in/static-assets/images/players/2020/65430.png?v=5.34&w=200,8.5
D Padikkal,Batsman,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/67589.png?v=9.4,8.0
A Badoni,Batsman,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/69656.png?v=9.4,8.0
KL Rahul,WK,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/60122.png?v=9.44,9.5
Q de Kock,WK,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/28035.png?v=9.4,9.0
N Pooran,WK,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/63726.png?v=9.4,8.5
Mohsin Khan,Bowler,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/68182.png?v=9.4,8.0
Ravi Bishnoi,Bowler,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/71288.png?v=9.4,8.0
Yash Thakur,Bowler,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/66819.png?v=9.4,8.0
Shivam Mavi,Bowler,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/66984.png?v=9.4,8.0
DJ Hooda,AR,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/63748.png?v=9.4,8.0
KH Pandya,AR,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/63788.png?v=9.4,8.0
MP Stoinis,AR,LSG,https://www.lucknowsupergiants.in/static-assets/images/players/4311.png?v=9.4,8.0
RG Sharma,Batsman,MI,https://www.mumbaiindians.com/static-assets/images/players/large/3852.png?v=4.11&w=200,10.0
SA Yadav,Batsman,MI,https://www.mumbaiindians.com/static-assets/images/players/large/11803.png?v=4.11&w=200,9.5
TH David,Batsman,MI,https://www.mumbaiindians.com/static-assets/images/players/large/67402.png?v=4.11&w=200,8.5
Ishan Kishan,WK,MI,https://www.mumbaiindians.com/static-assets/images/players/large/64712.png?v=4.11&w=200,9.0
JJ Bumrah,Bowler,MI,https://www.mumbaiindians.com/static-assets/images/players/large/63755.png?v=4.11&w=2000,10.0
D Madushanka,Bowler,MI,https://www.mumbaiindians.com/static-assets/images/players/large/70764.png?v=4.11&w=200,8.0
HH Pandya,AR,MI,https://www.mumbaiindians.com/static-assets/images/players/large/63751.png?v=4.11&w=200,10.5
NT Tilak Varma,AR,MI,https://www.mumbaiindians.com/static-assets/images/players/large/70761.png?v=4.11&w=200,8.0
PP Chawla,AR,MI,https://www.mumbaiindians.com/static-assets/images/players/large/3729.png?v=4.11&w=200,9.0
G Coetzee,AR,MI,https://www.mumbaiindians.com/static-assets/images/players/large/67443.png?v=4.11&w=200,8.5
Mohammad Nabi,AR,MI,https://www.mumbaiindians.com/static-assets/images/players/large/7797.png?v=4.11&w=200,9.5
S Dhawan,Batsman,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/3722.png?v=5.91,9.5
JM Sharma,WK,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/64724.png?v=5.91,8.0
Prabhsimran Singh,WK,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/70222.png?v=5.91,8.0
Arshdeep Singh,Bowler,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/67905.png?v=5.91,8.0
K Rabada,Bowler,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/63611.png?v=5.91,8.0
RD Chahar,Bowler,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/66823.png?v=5.91,8.0
HV Patel,Bowler,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/5407.png?v=5.91,9.0
LS Livingstone,AR,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/63940.png?v=5.911,8.0
A Taide,AR,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/67910.png?v=5.91,8.0
SM Curran,AR,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/65584.png?v=5.91,8.0
Sikandar Raza,AR,PBKS,https://www.punjabkingsipl.in/static-assets/images/players/25422.png?v=5.91,8.0
F du Plessis,Batsman,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/94.png,9.5
V Kohli,Batsman,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2.png,9.0
RM Patidar,Batsman,RCB,https://www.iplt20.com/assets/images/default-headshot.png,8.0
KD Karthik,WK,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/13.png,8.0
MJ Dagar,Bowler,RCB,https://www.iplt20.com/assets/images/default-headshot.png,8.0
Mohammed Siraj,Bowler,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/63.png,8.0
V Vyshak,Bowler,RCB,https://www.iplt20.com/assets/images/default-headshot.png,8.0
AS Joseph,Bowler,RCB,https://www.iplt20.com/assets/images/default-headshot.png,11.5
Yash Dayal,Bowler,RCB,https://www.iplt20.com/assets/images/default-headshot.png,5.0
GJ Maxwell,AR,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/28.png,8.5
Cameron Green,AR,RCB,https://www.iplt20.com/assets/images/default-headshot.png,8.0
YBK Jaiswal,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/69238.png?v=6.01,8.0
R Parag,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/66939.png?v=6.01,8.0
SO Hetmyer,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/64861.png?v=6.01,9.0
R Powell,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/65291.png?v=6.01,8.0
